0	0	0.93721
0	1	0.949208
0	2	0.970371
0	3	1.02847
0	4	1
0	5	1
0	6	1
0	7	1
0	8	4.87367
0	9	4.96375
0	10	4.64048
0	11	4.82692
1	0	1.0015
1	1	0.957147
1	2	1.02788
1	3	0.976369
1	4	1
1	5	1
1	6	1
1	7	1
1	8	4.95193
1	9	4.62786
1	10	5.01224
1	11	4.97901
2	0	0.92633
2	1	0.895267
2	2	1.01822
2	3	0.0
2	4	1.0
2	5	1.0
2	6	1.0
2	7	0.0
2	8	4.99818
2	9	5.2051
2	10	5.06747
2	11	4.70307
3	0	1.02962
3	1	0.99203
3	2	0.996242
3	3	1.00524
3	4	1
3	5	1
3	6	1
3	7	1
3	8	5.04547
3	9	4.83952
3	10	5.06262
3	11	4.9863
4	0	0.976243
4	1	0.906018
4	2	0.975336
4	3	0.973517
4	4	1
4	5	1
4	6	1
4	7	1
4	8	5.05616
4	9	0.0
4	10	4.75741
4	11	4.80644
5	0	1
5	1	1
5	2	1
5	3	1
5	4	1
5	5	1
5	6	1
5	7	1
5	8	0
5	9	0
5	10	0
5	11	0
6	0	0.979051
6	1	0.938312
6	2	0.977778
6	3	0.945042
6	4	1
6	5	1
6	6	1
6	7	1
6	8	4.77143
6	9	0
6	10	4.86834
6	11	4.96084
7	0	0.943889
7	1	0.906588
7	2	0.900266
7	3	0.901431
7	4	1
7	5	1
7	6	1
7	7	1
7	8	5.16532
7	9	0.0
7	10	4.86545
7	11	0.0
8	0	0.920798
8	1	0.907488
8	2	0.967899
8	3	0.953592
8	4	1
8	5	1
8	6	1
8	7	1
8	8	4.94834
8	9	5.07849
8	10	5.69458
8	11	5.19479
9	0	1.00701
9	1	0.93751
9	2	0.924838
9	3	0.989197
9	4	1
9	5	1
9	6	1
9	7	1
9	8	4.8563
9	9	5.44407
9	10	5.04065
9	11	4.84277
10	0	0.948278
10	1	0.932191
10	2	0.90814
10	3	0.915213
10	4	1
10	5	1
10	6	1
10	7	1
10	8	5.04666
10	9	4.93683
10	10	5.29362
10	11	5.00553
11	0	0.957406
11	1	1.01122
11	2	0.991226
11	3	1.02379
11	4	1
11	5	1
11	6	1
11	7	1
11	8	4.79093
11	9	5.01004
11	10	4.88253
11	11	4.83195
